rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
1,New York City,NY,US,8804190,new-york-city-ny,40.71427,-74.00597,5128581,PPL
2,Los Angeles,CA,US,3820914,los-angeles-ca,34.05223,-118.24368,5368361,PPLA2
3,Toronto,ON,CA,2794356,toronto-on,43.70643,-79.39864,6167865,PPLA
4,Chicago,IL,US,2664452,chicago-il,41.85003,-87.65005,4887398,PPLA2
5,Houston,TX,US,2314157,houston-tx,29.76328,-95.36327,4699066,PPLA2
6,Montréal,QC,CA,1762949,montreal-qc,45.50884,-73.58781,6077243,PPLA2
7,Phoenix,AZ,US,1650070,phoenix-az,33.44838,-112.07404,5308655,PPLA
8,Philadelphia,PA,US,1573916,philadelphia-pa,39.95238,-75.16362,4560349,PPLA2
9,San Antonio,TX,US,1526656,san-antonio-tx,29.42412,-98.49363,4726206,PPLA2
10,San Diego,CA,US,1404452,san-diego-ca,32.71571,-117.16472,5391811,PPLA2
11,Dallas,TX,US,1326087,dallas-tx,32.78306,-96.80667,4684888,PPLA2
12,Calgary,AB,CA,1306784,calgary-ab,51.05011,-114.08529,5913490,PPL
13,Ottawa,ON,CA,1017449,ottawa-on,45.41117,-75.69812,6094817,PPLC
14,Edmonton,AB,CA,1010899,edmonton-ab,53.55014,-113.46871,5946768,PPLA
15,Jacksonville,FL,US,1009833,jacksonville-fl,30.33218,-81.65565,4160021,PPLA2
16,Fort Worth,TX,US,1008106,fort-worth-tx,32.72541,-97.32085,4691930,PPLA2
17,San Jose,CA,US,997368,san-jose-ca,37.33939,-121.89496,5392171,PPLA2
18,Austin,TX,US,974447,austin-tx,30.26715,-97.74306,4671654,PPLA
19,Columbus,OH,US,913175,columbus-oh,39.96118,-82.99879,4509177,PPLA
20,Charlotte,NC,US,911311,charlotte-nc,35.22709,-80.84313,4460243,PPLA2
21,Indianapolis,IN,US,887642,indianapolis-in,39.76838,-86.15804,4259418,PPLA
22,San Francisco,CA,US,827526,san-francisco-ca,37.77493,-122.41942,5391959,PPLA2
23,Seattle,WA,US,780995,seattle-wa,47.60621,-122.33207,5809844,PPLA2
